"","superkingdom","phylum","class","order","family","genus","species"
"1f49d0870893c0ad08c8f7e294f66871","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Nocardioidaceae","Nocardioides",NA
"32a7cecbcaacfc2dbc7901ba4e394766","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides terrigena"
"17259f959782be96b970d30233cab6f2","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Nocardioidaceae","Nocardioides",NA
"b2cf16af73b16785d8ea99c3db5cb69f","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides aromaticivorans"
"d8366bd8fa74b5bd4f56db5225632c1d","Bacteria","Actinobacteria","Actinomycetia","Jiangellales","Jiangellaceae",NA,NA
"dbe1cf063b5cc98c328069133ba49071",NA,NA,NA,NA,NA,NA,NA
"66f82846ae15d050587762f2b8565beb","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Ruminococcoides","Ruminococcoides bili"
"f2bb3b08227bdd521a4a929b826fc764",NA,NA,NA,NA,NA,NA,NA
"f7cf40875c1d2610f4d22a62f1b34356",NA,NA,NA,NA,NA,NA,NA
"91e5f128374a4fe3242bec4735c2be79",NA,NA,NA,NA,NA,NA,NA
"c3b717791a6ec5643998ba1d82698c0a",NA,NA,NA,NA,NA,NA,NA
"9debff811450c3a8f09e1b32034b19a9","Bacteria","Bacteroidota","Cytophagia","Cytophagales","Cytophagaceae","Chryseosolibacter","Chryseosolibacter indicus"
"55accb238db0649967b7824d9da1509e","Bacteria","Bacteroidota","Cytophagia","Cytophagales","Fulvivirgaceae",NA,NA
"0748a281737d635cb94949757df2cea4","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Nocardioidaceae","Marmoricola",NA
"a72678998fe18a2e64594fa908771210","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Priestia","Priestia koreensis"
"63aa087ec29a931abc89e111b3e83b8a","Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Phyllobacteriaceae","Paramesorhizobium","Paramesorhizobium deserti"
"dad9d8c4d748c0b7274cdfea1ebd7f6d","Bacteria","Bacteroidota","Cytophagia","Cytophagales",NA,NA,NA
